,note,creation_date,reps
221,Машинное обучение\ВАще негуглил\SVM.md,2024-12-06 15:30:33.920290,0
222,Машинное обучение\ВАще негуглил\XGBoost.md,2024-12-11 17:48:50.692477,0
223,Машинное обучение\ВАще негуглил\Временные ряды.md,2024-11-20 14:58:53.850079,0
224,Машинное обучение\ВАще негуглил\Метод максимального правдоподобия.md,2024-11-19 12:45:39.389274,0
225,Машинное обучение\ВАще негуглил\Метод минимизации эмпирического риска.md,2024-11-19 10:48:47.123579,0
226,Машинное обучение\ВАще негуглил\Наивный Баес.md,2024-12-06 15:30:33.920290,0
227,Машинное обучение\ВАще негуглил\Параллельные вычисления.md,2024-11-20 16:36:29.770255,0
228,Машинное обучение\Все остальное\Optuna.md,2024-12-07 20:03:14.167342,0
229,Машинное обучение\Все остальное\Pipeline обучения модели.md,2024-11-19 15:09:55.533019,0
230,Машинное обучение\Все остальное\Гиперпараметры.md,2024-11-17 08:49:38.914974,0
231,Машинное обучение\Все остальное\Задача машинного обучения.md,2024-11-17 08:29:42.414338,0
232,Машинное обучение\Все остальное\Машинное обучение.md,2024-11-19 15:54:37.197385,0
233,Машинное обучение\Все остальное\Метрики.md,2024-11-17 08:39:16.907703,0
234,Машинное обучение\Все остальное\Переобучение.md,2024-11-17 08:37:12.605100,0
235,Машинное обучение\Все остальное\Регуляризация.md,2024-11-19 12:40:21.709726,0
236,Машинное обучение\Все остальное\Стратификация.md,2024-12-06 15:18:26.244368,0
237,Машинное обучение\Все остальное\Функция unzip в юпитере.md,2024-11-17 08:48:31.456824,0
238,Машинное обучение\Композиции алгоритмов\Ансамблевые методы.md,2024-12-11 17:48:03.497025,0
239,Машинное обучение\Композиции алгоритмов\блендинг.md,2024-11-20 16:03:32.846853,0
240,Машинное обучение\Композиции алгоритмов\Бустинг.md,2024-11-20 16:10:59.725178,0
241,Машинное обучение\Композиции алгоритмов\бутстреп.md,2024-11-20 15:38:29.864878,0
242,Машинное обучение\Композиции алгоритмов\бэггинг.md,2024-11-20 15:42:49.540402,0
243,Машинное обучение\Композиции алгоритмов\Композиции алгоритмов.md,2024-11-20 15:29:57.225850,0
244,Машинное обучение\Композиции алгоритмов\Метод простого голосования.md,2024-11-20 15:30:27.221611,0
245,Машинное обучение\Композиции алгоритмов\Стохастический градиентный спуск.md,2024-11-19 11:11:47.858649,0
246,Машинное обучение\Композиции алгоритмов\Стэкинг.md,2024-11-20 15:55:27.173014,0
247,Машинное обучение\Композиции алгоритмов\Теорема Кондорсе о суде присяжных.md,2024-11-20 15:26:43.894274,0
248,Машинное обучение\Композиции алгоритмов\CatBoost\CatBoost CV.md,2024-11-22 19:19:12.724626,0
249,Машинное обучение\Композиции алгоритмов\CatBoost\CatBoost.md,2024-11-22 19:18:46.321904,0
250,Машинное обучение\Нейросети\NAS.md,2025-01-15 08:53:58.227027,0
251,Машинное обучение\Нейросети\self-supervised learning.md,2025-01-13 12:35:01.303722,0
252,Машинное обучение\Нейросети\Transfer learning.md,2024-12-29 21:00:29.991225,0
253,Машинное обучение\Нейросети\Виды нейросетей.md,2025-01-03 18:22:36.729782,0
